,Title,Company Name,Location,Work Type,Description
56,Software Engineer (Intern),"
                  Flex
                ","
                Shanghai, Shanghai, China
              ",On-site," To support our extraordinary teams who build great products and contribute to our growth, we’re looking to add a/an [  Software  E  ngineer(Intern)]  located in [Shanghai].  Reporting to the [Sensor Software Design Engineer],  the [  Software  Engineer (Intern)  ]  role involves…   What a typical day looks like  :   Support technical document preparation Support development process document preparation Participate in white box unit and integration testing, write test cases and generate test reports    The experience we’re looking to add to our team  :   Bachelor or Master degree majored in electrical engineering, electronics or automation engineering C programming skill Experience in embedded system development Good capability to write technical reports Good English reading &amp; written capability    What you’ll receive for the great work you provide  :   Social Insurance Life Insurance PTO Site    Flex is an Equal Opportunity Employer and employment selection decisions are based on merit, qualifications, and abilities. We celebrate diversity and do not discriminate based on: age, race, religion, color, sex, national origin, marital status, sexual orientation, gender identity, veteran status, disability, pregnancy status, or any other status protected by law. We're happy to provide reasonable accommodations to those with a disability for assistance in the recruitment process. Please advise us of any accommodations you may need by e-mailing: accessibility@flex.com.   "
57,"Junior Software Engineer, Trilogy (Remote) - $60,000/year USD","
                  Crossover for Work
                ","
                Tianjin, Tianjin, China
              ",Remote," Crossover is the world's #1 source of full-time remote jobs. Our clients offer top-tier pay for top-tier talent. We're recruiting this role for our client, Trilogy. Have you got what it takes?   Jumpstart your technical career in Trilogy's fellowship program. You'll receive unparalleled mentorship, growth opportunities, and career advancement in our two-year program. Work with the best and brightest minds in the software industry!   This is an exciting opportunity to tackle the most pressing problems in the industry, create innovative solutions for customers, and interact with senior executives. Unlike a lot of jobs, when we say entry-level, we mean it. No work experience required.   Perform breakthrough experiments utilizing the full power of cloud services, AI, and ML to tackle high-level business challenges. Receive regular training and feedback. And join an elite class of alumni who have launched careers as entrepreneurs, leaders, and influencers.   In less than 5 hours, you can complete all the application steps and interview directly with a senior executive. That's right! Instead of days or even weeks, land a full-time offer in hours, with a single interview!   It won't be easy, but there will never be a dull moment. Join us to jumpstart your career with the world’s top technical minds.    What You Will Be Doing    Exploring a new business problem every 6-8 weeks Conducting research and interviewing stakeholders to understand the problem Running weekly experiments – write code, review outcomes, debug, log learnings, and iterate Delivering prototypes and deployments to customers Meeting in person with members of your cohort twice a year in exciting global destinations    What You Won’t Be Doing    Doing repetitive tasks - no two problems are the same Getting it right all the time - frequent feedback will enable you to fail fast and learn quickly Working solo - work as part of a small team to tackle challenges    Junior Software Engineer Key Responsibilities    Create clear, simple, technically-superior solutions to complicated problems    Basic Requirements    A degree in Computer Science, Engineering, or another technical field Strong coding abilities in any language Proven problem-solving skills and an ability to communicate clearly Quick-learner who can work independently Ability to start work in July 2022    About Trilogy    Hundreds of software businesses run on the Trilogy Business Platform. For three decades, Trilogy has been known for 3 things: Relentlessly seeking top talent, Innovating new technology, and incubating new businesses. Our technological innovation is spearheaded by a passion for simple customer-facing designs. Our incubation of new businesses ranges from entirely new moon-shot ideas to rearchitecting existing projects for today's modern cloud-based stack. Trilogy is a place where you can be surrounded with great people, be proud of doing great work, and grow your career by leaps and bounds.   There is so much to cover for this exciting role, and space here is limited. Hit the Apply button if you found this interesting and want to learn more. We look forward to meeting you!   Working with Crossover  This is a full-time (40 hours per week), long-term position. The position is immediately available and requires entering into an independent contractor agreement with Crossover. The compensation level for this role is $30 USD/hour, which equates to $60,000 USD/year assuming 40 hours per week and 50 weeks per year. The payment period is weekly. Consult www.crossover.com/help-and-faqs for more details on this topic.   What to expect next:   You will receive an email with a link to start your self-paced, online job application. Our hiring platform will guide you through a series of online “screening” assessments to check for basic job fit, job-related skills, and finally a few real-world job-specific assignments.   Important!  If you do not receive an email from us:   First, emails may take up to 15 minutes to send, refresh and check again. Second, check your spam and junk folders for an email from Crossover.com, mark as “Not Spam” since you will receive other emails as well. Third, we will send to whatever email account you indicated on the Apply form - by default, that is the email address you use as your LinkedIn username and it might be different than the one you have already checked. If all else fails, just reset your password by visiting https://www.crossover.com/auth/reset-password if you already applied using LinkedIn EasyApply.  Crossover Job Code: LJ-4513-CN-Tianjin-JuniorSoftware.002   "
58,AI工程师,"
                  北京威派格科技发展有限公司
                ","
                Wuhan, Hubei, China
              ",On-site,"<span class=""artdeco-inline-feedback__message""> This job is sourced from a job board. <button aria-label=""Learn more"" class=""artdeco-inline-feedback__linktext"" type=""button"">Learn more </button>"
59,Principal Data Scientist,"
                  Zuora
                ","
                Beijing, Beijing, China
              ",On-site,"  OUR VISION: THE WORLD. SUBSCRIBED.   Customers have changed. They’re looking for new ways to engage with businesses. Consumers today Constant improvement, not planned obsolescence.   In the old world (let’s call it the Product Economy) it was all about things. Acquiring new customers, shipping commodities, and billing for one-time transactions. But in today’s new era, it’s all about relationships. More and more customers are becoming subscribers because subscription experiences built around services meet consumers’ needs better than static offerings or a single product.   Our vision is “The World Subscribed”  where one day every company will be a part of the Subscription Economy® (a phrase coined by our CEO, Tien Tzuo, and author of the best-selling book Subscribed).    Responsibilities    Make full use of the world’s larget subscription data set to give customers the business insights for quote to cash and revenue, identify new monetization opportunities as well as help customer’s business to grow (churn prevention, upsell, etc) Work with product management and engineering teams to define the problem statements, help create long-term product vision, and build machine learning models to make recommendations Lead complex analytics projects to identify new opportunities and inform various product and business decisions Collaborate closely with cross-functional teams (Product, Engineering, Sales, Marketing, etc.) to drive user growth and strategy through data insights Leverage tools like R, Python, Hadoop &amp; SQL to drive efficient analytics    Qualifications Include    Advanced degree in Math/Statistics, Engineering, Physics, Computer Science, or equivalent practical experience 5+ years of experience solving analytical problems using quantitative approaches Bachelors/Masters Degree with 7+ years (or Ph.D. with 5+ years) of experience working within an analytical role Proven communication skills and experience connecting with and influencing a broad spectrum of audiences Experience forming partnerships with and influencing cross-functional leaders in engineering, product, marketing, research, etc. Experience initiating and driving projects to completion with minimal guidance    About Zuora &amp; Our “zeo” Culture    Zuora (NYSE: ZUO) Zuora provides the leading cloud-based subscription management platform that functions as a system of record for subscription businesses across all industries. Powering the Subscription Economy®, the Zuora platform was architected specifically for dynamic, recurring subscription business models and acts as an intelligent subscription management hub that automates and orchestrates the entire subscription order-to-revenue process seamlessly across billing and revenue recognition. Zuora serves more than 1,000 companies around the world, including Box, Ford, Penske Media Corporation, Schneider Electric, Siemens, Xplornet, and Zoom.   At Zuora, we have one CEO but every employee is empowered and supported to be the ‘ZEO’ of their own career experience. By embedding inclusion and belonging into our processes, policies and culture, we are building a workplace where our 1,200+ ZEOs across North America, Europe, and APAC can bring all the elements of who they are into their work. In addition to an industry-leading six-month, 100% paid parental leave for all our ZEOs, we also offer programs to support your mental health and give back to our communities along with “career cash” and plenty of learning and development opportunities.   To learn more visit www.zuora.com   Zuora is proud to be an Equal Employment Opportunity employer.   Think, be and do you! At Zuora, different perspectives, experiences and contributions matter. Everyone counts. Zuora is proud to be an Equal Opportunity Employer committed to creating an inclusive environment for all.   Zuora does not discriminate on the basis of, and considers individuals seeking employment with Zuora without regard to, race, religion, color, national origin, sex (including pregnancy, childbirth, reproductive health decisions, or related medical conditions), sexual orientation, gender identity, gender expression, age, status as a protected veteran, status as an individual with a disability, genetic information, political views or activity, or other applicable legally protected characteristics.   We encourage candidates from all backgrounds to apply. Applicants in need of special assistance or accommodation during the interview process or in accessing our website may contact us by sending an email to assistance(at)zuora.com.    About Zuora    Zuora provides the leading cloud-based subscription management platform that functions as a system of record for subscription businesses across all industries. Powering the Subscription Economy®, the Zuora platform was architected specifically for dynamic, recurring subscription business models and acts as an intelligent subscription management hub that automates and orchestrates the entire subscription order-to-cash process, including billing and revenue recognition.   At Zuora, every employee is the CEO of their career and leading our mission are over 1,200 passionate and innovative ZEOs who value freedom, responsibility and accountability in equal measure because they have the capacity to make shift happen. Our culture isn’t an empty branding effort – our ZEOs love working here and it shows in our rating on Glassdoor. We take it very seriously. We encourage our employees to be curious, creative, and stay focused on our shared mission of enabling our customers to be successful.   Zuora serves more than 1,000 companies around the world, including Box, Komatsu, Rogers, Schneider Electric, Xplornet and Zendesk. Headquartered in Silicon Valley, Zuora also operates offices in Atlanta, Boston, Frisco, Denver, San Francisco, London, Paris, Beijing, Sydney, Chennai and Tokyo.   At Zuora, different perspectives, experiences and contributions matter. Everyone counts. Zuora is proud to be an equal opportunity employer committed to creating an inclusive environment for all.   To learn more visit www.zuora.com   "
60,Software Engineer,"
                  Aptiv
                ","
                Changzhou-Wuxi-Suzhou Metropolitan Area
              ",On-site,"  Position Description    Analyze system requirement and write software requirement of automotive safety products. Develop basic SW modules including:   AUTOSAR OS AUTOSAR CAN FD communication AUTOSAR Network management AUTOSAR Diagnostics event &amp; communication manager Non-volatile memory driver and application Functional safety Cyber security Multi-Core architecture   Conduct software validation and verification according to software requirement. Maintain software build environment, scripts (makefile/linker) and development tools. Customer support for quick technical problem-solving Design validation and manufacturing EOL test software development Write technical documents in English.    Requirements    Bachelor degree in electrical engineering, computer science, automotive engineering, or comparable 2+ years programming experiences in embedded system development Experience in embedded software development, tool chain and process Excellent C programming skills Familiar with AURIX TC3XX architecture or equivalence Familiar with AUTOSAR architecture and common BSW&amp;RTE modules Familiar with automotive ISO standards of communication, diagnostics, functional safety and coding Background on hardware schematics analysis and measurement Experience in multi-core programming is a plus Experience in functional safety software development is a plus Good written and spoken English skills Honest, cooperative and self-driven to excellence   Privacy Notice - Active Candidates: https://www.aptiv.com/privacy-notice-active-candidates   Aptiv is an equal employment opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, national origin, sex, gender identity, sexual orientation, disability status, protected veteran status or any other characteristic protected by law. "
61,测试软件助理工程师(招收2022年应届毕业生),"
                  深圳市高科润电子有限公司
                ","
                Shenzhen, Guangdong, China
              ",On-site,"<span class=""artdeco-inline-feedback__message""> This job is sourced from a job board. <button aria-label=""Learn more"" class=""artdeco-inline-feedback__linktext"" type=""button"">Learn more </button>"
62,Software Engineer,"
                  KION Group
                ","
                Shanghai, Shanghai, China
              ",On-site,"  What We Offer   OO design/development  Enthusiasm for software development and innovation;  Positive Attitude, Strong Initiative, Well Self-learning  Knowledge of Relational Databases;  SW Methodologies: Agile/Scrum;  Agile/Scrum 软件方法论;   Good English Reading and Writing. 读写能力； XML/XSL/CSS, http, SOA, HTML5, Javascript frameworks   XML/XSL/CSS, http, SOA, HTML5, Javascript 框架   Familiar with GWT, GIT,SVN,   GWT, GIT,SVN 使用熟练   Prefer experience with JQuery, Hibernate/Struts, Spring MVC/Mybatis, and Apache Maven;   JQuery, Hibernate/Struts, Spring MVC/Mybatis, and Apache Maven使用经验优先；   IntelliJ IDEA/Eclipse   IntelliJ IDEA/Eclipse经验优先；   Experience in logistics industrial   物流行业经验优先   Prefer experience with WMS/WCS   WMS/WCS 行业经验优先   Prefer experience with PMP （PMP认证） Prefer Good Oral English. 优先；    Tasks And Qualifications   Design and develop web-based applications utilizing Java EE for projects;  Java EE设计和开发基于Web的应用；  Provide technical support to customers on-site;  Train customers and key-users on installed applications;  Maintain good relationships with all internal and external customers, through provision of high-quality service; 通过高质量的服务，与内部及外部客户保持良好关系；  Work within an Agile environment;  Attend site during software commissioning phases to ensure that integration testing and site acceptance testing is completed as required;  ~40% travel availability;  40%的出差；  Working with global team;  "
63,Data Scientist,"
                  空中云汇(深圳)网络科技有限公司
                ","
                Shanghai, Shanghai, China
              ",On-site,"<span class=""artdeco-inline-feedback__message""> This job is sourced from a job board. <button aria-label=""Learn more"" class=""artdeco-inline-feedback__linktext"" type=""button"">Learn more </button>"
64,NLP 算法工程师,"
                  Hithink Flush Information Network Co., Ltd.
                ","
                Hangzhou, Zhejiang, China
              ",On-site,"<span class=""artdeco-inline-feedback__message""> This job is sourced from a job board. <button aria-label=""Learn more"" class=""artdeco-inline-feedback__linktext"" type=""button"">Learn more </button>"
65,语音后端工程师,"
                  浙江吉利控股集团有限公司
                ","
                Shanghai, Shanghai, China
              ",On-site,"<span class=""artdeco-inline-feedback__message""> This job is sourced from a job board. <button aria-label=""Learn more"" class=""artdeco-inline-feedback__linktext"" type=""button"">Learn more </button>"
66,sas程序员,"
                  北京博诺威医药科技发展有限公司
                ","
                Chengdu, Sichuan, China
              ",On-site,"<span class=""artdeco-inline-feedback__message""> This job is sourced from a job board. <button aria-label=""Learn more"" class=""artdeco-inline-feedback__linktext"" type=""button"">Learn more </button>"
67,"Associate Software Engineer, Trilogy (Remote) - $60,000/year USD","
                  Crossover for Work
                ","
                Tianjin, Tianjin, China
              ",Remote," Crossover is the world's #1 source of full-time remote jobs. Our clients offer top-tier pay for top-tier talent. We're recruiting this role for our client, Trilogy. Have you got what it takes?   Jumpstart your technical career in Trilogy's fellowship program. You'll receive unparalleled mentorship, growth opportunities, and career advancement in our two-year program. Work with the best and brightest minds in the software industry!   This is an exciting opportunity to tackle the most pressing problems in the industry, create innovative solutions for customers, and interact with senior executives. Unlike a lot of jobs, when we say entry-level, we mean it. No work experience required.   Perform breakthrough experiments utilizing the full power of cloud services, AI, and ML to tackle high-level business challenges. Receive regular training and feedback. And join an elite class of alumni who have launched careers as entrepreneurs, leaders, and influencers.   In less than 5 hours, you can complete all the application steps and interview directly with a senior executive. That's right! Instead of days or even weeks, land a full-time offer in hours, with a single interview!   It won't be easy, but there will never be a dull moment. Join us to jumpstart your career with the world’s top technical minds.    What You Will Be Doing    Exploring a new business problem every 6-8 weeks Conducting research and interviewing stakeholders to understand the problem Running weekly experiments – write code, review outcomes, debug, log learnings, and iterate Delivering prototypes and deployments to customers Meeting in person with members of your cohort twice a year in exciting global destinations    What You Won’t Be Doing    Doing repetitive tasks - no two problems are the same Getting it right all the time - frequent feedback will enable you to fail fast and learn quickly Working solo - work as part of a small team to tackle challenges    Associate Software Engineer Key Responsibilities    Create clear, simple, technically-superior solutions to complicated problems    Basic Requirements    A degree in Computer Science, Engineering, or another technical field Strong coding abilities in any language Proven problem-solving skills and an ability to communicate clearly Quick-learner who can work independently Ability to start work in July 2022    About Trilogy    Hundreds of software businesses run on the Trilogy Business Platform. For three decades, Trilogy has been known for 3 things: Relentlessly seeking top talent, Innovating new technology, and incubating new businesses. Our technological innovation is spearheaded by a passion for simple customer-facing designs. Our incubation of new businesses ranges from entirely new moon-shot ideas to rearchitecting existing projects for today's modern cloud-based stack. Trilogy is a place where you can be surrounded with great people, be proud of doing great work, and grow your career by leaps and bounds.   There is so much to cover for this exciting role, and space here is limited. Hit the Apply button if you found this interesting and want to learn more. We look forward to meeting you!   Working with Crossover  This is a full-time (40 hours per week), long-term position. The position is immediately available and requires entering into an independent contractor agreement with Crossover. The compensation level for this role is $30 USD/hour, which equates to $60,000 USD/year assuming 40 hours per week and 50 weeks per year. The payment period is weekly. Consult www.crossover.com/help-and-faqs for more details on this topic.   What to expect next:   You will receive an email with a link to start your self-paced, online job application. Our hiring platform will guide you through a series of online “screening” assessments to check for basic job fit, job-related skills, and finally a few real-world job-specific assignments.   Important!  If you do not receive an email from us:   First, emails may take up to 15 minutes to send, refresh and check again. Second, check your spam and junk folders for an email from Crossover.com, mark as “Not Spam” since you will receive other emails as well. Third, we will send to whatever email account you indicated on the Apply form - by default, that is the email address you use as your LinkedIn username and it might be different than the one you have already checked. If all else fails, just reset your password by visiting https://www.crossover.com/auth/reset-password if you already applied using LinkedIn EasyApply.  Crossover Job Code: LJ-4513-CN-Tianjin-AssociateSoftw.002   "
68,Software Engineer- game company,"
                  Michael Page
                ","
                Shanghai, Shanghai, China
              ",On-site," Software Engineer- Game Company   Clear promotion mechanism and global job opportunities.|Excellent basic salary, bonus and rewards in the industry.     About Our Client  It is the business team of a large multinational foreign game company tasked with developing one of the largest e-commerce platforms that power hundreds of games hundreds of millions of players play.The business platform is responsible for providing basic services to game studios, including identity management, account, subscription, billing, payment, virtual currency, supply, licensing, risk, and fraud, at 24x7 and 99.99% reliability.   Job Description  Work with program manager to understand business requirement and translate that into technical design which is reviewed and signed off by stack holder,   Responsible for Architecture of Subscription Components Lead technical design and implementation of a feature Design underlying database schema and interface, Implement high quality code with comprehensive unit testing, Be subject matter expert in the area. Fix bugs raised from stabilization, integration and production. Work on migrating legacy systems to the new platform. Troubleshoot issues raised from production and resolve customer problems. Evaluate and adopt technologies which improve the team efficiency and platform capability Code review peer developer's code and provide constructive feedbacks to ensure consistency and quality of code Mentor engineers, new hires and interns. Participate in hiring process.    The Successful Applicant   Strong Analytical Problem Solving Skill Solid computer science background including Algorithm, Data Structure, Operation System etc. Ability to quickly learn complexity system and new technologies Passion about customer, partner and quality Proven track record of releasing commerce software product Proven track record of design/architecture of a large components. Experience in mentoring engineers and hire hires into high performing stars. Experience in live site troubleshooting Deep Experience with C#/Java/C++    What's On Offer   Clear promotion mechanism and global job opportunities. Excellent basic salary, bonus and rewards in the industry. Inclusive and diverse team.    Contact: Cherries Tuo  Quote job ref: JN-022022-5271272  "
69,"Mobile Developer I,Suzhou,PSS,SPS","
                  Honeywell
                ","
                Changzhou-Wuxi-Suzhou Metropolitan Area
              ",On-site,"  Responsibilities    Designing and implementing microservices which use the spring boot framework.    Qualifications    Designing and developing automation solution for Android devices.   Master degree, Computer Science, Electronic Engineering or related.   Understanding of products testing life cycle   Knowledge of Android application development   Know HTML, CSS, JavaScript, Java, and others   Excellent problem-solving skills.   Additional Information   JOB ID: req336589 Category: Engineering Location: 221 Xin Hai Street, Suzhou Industrial Park, Suzhou,Suzhou,JIANGSU,215021,China  "
70,software engineer,"
                  Michael Page
                ","
                Shanghai, Shanghai, China
              ",On-site,"  欧洲知名互联网公司|在线票务平台     About Our Client  是有着多年历史的全球在线酒店预订网站，签约超过25万家不同类型的酒店覆盖了全球190多个国家。   Job Description  Test the software you write to ensure we deliver quality product   Work on software and system optimizations, helping to identify and remove potential   performance bottlenecks   Focus on innovating new and better ways to create solutions that add value and amaze theend user, with a penchant for simple elegant design in every aspect from data structures tocode to UI and systems architecture   Work with Agile development methodologies   Use software engineering practices to write, document and maintain code   The Successful Applicant  Good experience in Java, JEE, JSP, Spring, Hibernate, Maven, HTML/CSS &amp; React.JS   Willingness to work on UI with attention to details   Handson experience on Frontend build/package   Good knowledge of MicroService development and continuous integration   Familiarity with GIT   Good understanding of SCRUM/Agile methodologies   Experience in the following platforms/tools would be a plus: AWS; tools of JS Unit   Tests/Analysis; server infrastructures like database, Linux server; containerize techniques likeDocker/Kubernetes   Fluency in Mandarin and English, both written and spoken   What's On Offer  we feel globally united and mutually responsible, a belief that is rooted in our companyhistory and values: Thinking and acting like an entrepreneur, with everyon e across the wholecompany being given the opportunity to take full ownership to deliver on our shared visionevery day.   Contact: Dora Ren  Quote job ref: JN-042022-5411609  "
71,AI工程师（应届生）,"
                  深圳市鼎芯无限科技有限公司
                ","
                Shenzhen, Guangdong, China
              ",On-site,"<span class=""artdeco-inline-feedback__message""> This job is sourced from a job board. <button aria-label=""Learn more"" class=""artdeco-inline-feedback__linktext"" type=""button"">Learn more </button>"
72,Android软件工程师,"
                  Koal Software
                ","
                Shanghai, Shanghai, China
              ",On-site,"<span class=""artdeco-inline-feedback__message""> This job is sourced from a job board. <button aria-label=""Learn more"" class=""artdeco-inline-feedback__linktext"" type=""button"">Learn more </button>"
73,"Engineer, Software","
                  Molex
                ","
                Wuhan, Hubei, China
              ",On-site," 说明  Software development of new and existing products that meets or exceed customer expectations. Support Sr.engineer and manager on all project in software development, product testing, technical document and issue analysis etc;   What You Will Do In Your Role   Support to solve the problem of existing products; According to project specification, software document design and review; Source code design and it’s functional validate. Support production manufacture and solve the problems in the manufacture;   The Experience You Will Bring    Requirements    Bachelor’s degree in engineering in computer related field; 3+ years design experience English Language Skills: proficient in listening, speaking and writing Proficient in C/C++ language program; Have good knowledge of the embedded platform of the DSP IT C6000，C66x series etc ; Have good knowledge of digital signal processing algorithms ; Knowledge of the optical communication module, such as EDFA, OCM ,TFA, WSS etc; Good verbal and written skills for exchange of information in a clear and concise manner   What Will Put You Ahead   Design experience of Linux embed products and optical communication related products   Knowledge of hardware and optical design "
74,AI图像算法工程师,"
                  珠海安士佳电子有限公司
                ","
                Zhuhai, Guangdong, China
              ",On-site,"<span class=""artdeco-inline-feedback__message""> This job is sourced from a job board. <button aria-label=""Learn more"" class=""artdeco-inline-feedback__linktext"" type=""button"">Learn more </button>"
75,Software Engineer-0000HMSE,"
                  北京汇丰软件技术有限公司
                ","
                Guangzhou, Guangdong, China
              ",On-site,"<span class=""artdeco-inline-feedback__message""> This job is sourced from a job board. <button aria-label=""Learn more"" class=""artdeco-inline-feedback__linktext"" type=""button"">Learn more </button>"
76,"Software Engineer, Diagnostic Tools and Platforms","
                  Tesla
                ","
                Shanghai, Shanghai, China
              ",On-site,"<span class=""artdeco-inline-feedback__message""> This job is sourced from a job board. <button aria-label=""Learn more"" class=""artdeco-inline-feedback__linktext"" type=""button"">Learn more </button>"
77,EAE Library Developer,"
                  Schneider Electric
                ","
                Shanghai, Shanghai, China
              ",On-site," Job descriptions:   Work closely with Product Architect to transform the user stories to the functionality of App/HW/IT services libraries. Develop the logic &amp; User interface using EAE engineering tool accordingly to the functionality definition, as well as to provide the Composite Automation Type for library publishing. Write the specification of the library developing, to support the Product Architect for user technical guide documented. Test the functions &amp; system performance accordingly to the validation strategy. Solve the issue cases escalated from internal – IPR or external – PCR. Collaborate with country product expert &amp; competency consult to guide/train the SAE/ADE for library implementation in the project engineering.     Qualifications    Requirements:   Major in Electrical &amp; Automation Engineering, above 3 years work experience with Bachelor. Have the skill of objected oriented program development, with the experience of automation control program by (ST, FBD, SFC), to develop the UI or advanced functions by (C#, C++). Have the skill of IOT application development, and master of python program language to integrate the application SDK or API. Be familiar with Industrial Automation System for discrete &amp; hybrid control, focused on Logistics, Food &amp; Beverage, Transportation applications is plus. Be familiar with Industry 4.0 for digitization services. With the experience of IT project developing is plus. With good ability of writing English.    Schedule:  Full-time   Req:  007ZIC "
78,"Engineer, Software","
                  Molex
                ","
                Wuhan, Hubei, China
              ",On-site," 说明  Software development of new and existing products that meets or exceed customer expectations. Support Sr. engineer and manager on all project in software development, product testing, technical document and issue analysis etc;   What You Will Do In Your Role   Support to solve the problem of existing products; According to project specification, software document design and review; Source code design and it’s functional validate. Support production manufacture and solve the problems in the manufacture;   The Experience You Will Bring    Requirements    Bachelor’s degree in engineering in computer related field; 3+ years design experience English Language Skills: proficient in listening, speaking and writing Proficient in C/C++ language program; Have good knowledge of the embedded platform of the DSP IT C6000，C66x series etc ; Have good knowledge of digital signal processing algorithms ; Knowledge of the optical communication module, such as EDFA, OCM ,TFA, WSS etc; Good verbal and written skills for exchange of information in a clear and concise manner   What Will Put You Ahead   Design experience of Linux embed products and optical communication related products   Knowledge of hardware and optical design "
79,C++后台开发软件工程师,"
                  FiberHome
                ","
                Wuhan, Hubei, China
              ",On-site,"<span class=""artdeco-inline-feedback__message""> This job is sourced from a job board. <button aria-label=""Learn more"" class=""artdeco-inline-feedback__linktext"" type=""button"">Learn more </button>"
80,Associate Software Engineer,"
                  Tesla
                ","
                Shanghai, Shanghai, China
              ",On-site,"<span class=""artdeco-inline-feedback__message""> This job is sourced from a job board. <button aria-label=""Learn more"" class=""artdeco-inline-feedback__linktext"" type=""button"">Learn more </button>"
81,人工智能工程师,"
                  上海驭矩科技信息有限公司
                ","
                Shanghai, Shanghai, China
              ",On-site,"<span class=""artdeco-inline-feedback__message""> This job is sourced from a job board. <button aria-label=""Learn more"" class=""artdeco-inline-feedback__linktext"" type=""button"">Learn more </button>"
82,机器人研究员,"
                  Inspur Group
                ","
                Jinan, Shandong, China
              ",On-site,"<span class=""artdeco-inline-feedback__message""> This job is sourced from a job board. <button aria-label=""Learn more"" class=""artdeco-inline-feedback__linktext"" type=""button"">Learn more </button>"
83,感知融合算法工程师,"
                  北京枕石网络有限公司
                ","
                Hangzhou, Zhejiang, China
              ",On-site,"<span class=""artdeco-inline-feedback__message""> This job is sourced from a job board. <button aria-label=""Learn more"" class=""artdeco-inline-feedback__linktext"" type=""button"">Learn more </button>"
84,nlp算法工程师,"
                  Leqee乐其电商
                ","
                Hangzhou, Zhejiang, China
              ",On-site,"<span class=""artdeco-inline-feedback__message""> This job is sourced from a job board. <button aria-label=""Learn more"" class=""artdeco-inline-feedback__linktext"" type=""button"">Learn more </button>"
85,Android多媒体软件工程师,"
                  Rockchip
                ","
                Shenzhen, Guangdong, China
              ",On-site,"<span class=""artdeco-inline-feedback__message""> This job is sourced from a job board. <button aria-label=""Learn more"" class=""artdeco-inline-feedback__linktext"" type=""button"">Learn more </button>"
86,nlp算法工程师,"
                  外脑(北京)咨询有限公司
                ","
                Shenzhen, Guangdong, China
              ",On-site,"<span class=""artdeco-inline-feedback__message""> This job is sourced from a job board. <button aria-label=""Learn more"" class=""artdeco-inline-feedback__linktext"" type=""button"">Learn more </button>"
